id,email,full_name,status,created_at,updated_at,phone,avatar_url,metadata,preferences,last_login_at,deleted_at,password_hash,date_of_birth,gender,address,emergency_contact,role,auth_provider,email_verified,phone_verified,password_changed_at
08e95ded-af39-4261-b2cb-5b02218e85e4,saibabausa.dev+member4@gmail.com,Member 4,active,2025-12-14 20:55:37.614+00,2025-12-14 20:55:37.614+00,4687951346,,{},"{""notifications"":{""push"":true,""email"":true,""whatsapp"":true}}",,,$2a$10$lW.Xmn5ZuCCD497lEYWxhOQ85dzyJ7u2f3WlPeDNcTheKkd/m2gfq,,,,,community_member,local,false,false,
0f465812-b1b2-40eb-b66a-f4e52b74d185,admin@temple.com,Temple Admin,active,2025-12-13 23:06:54+00,2025-12-14 14:17:33.434638+00,,,{},"{""notifications"":{""push"":true,""email"":true,""whatsapp"":true}}",2025-12-14 14:17:33.295+00,,$2a$10$cJgrIIoZ6WG8nGyRjAY02usQhK7h2nJTh4PD1.xFICtTqwu.dtPKe,,,,,admin,local,false,false,
111d8c8a-039a-4ee2-bdfd-60eba64d1a63,saibabausa.dev+member3@gmail.com,Test Member 3,active,2025-12-14 20:20:15.958+00,2025-12-14 20:20:15.958+00,6487513579,,{},"{""notifications"":{""push"":true,""email"":true,""whatsapp"":true}}",,,$2a$10$3yHZBlyjJMSXSoeDzwe8hu7SXLTK7zvIUcD0rlSwY3AC4Df8dJyme,,,,,community_member,local,false,false,
4074c70d-ae8b-44ae-8ff4-1bbb3a984bc8,saibabausa.dev+member1@gmail.com,Test Member 1,active,2025-12-14 04:04:54.544+00,2025-12-14 04:04:54.544+00,1234567890,,"{""about"":""li"",""roles"":[""user""],""skills"":[""eat sleep code""],""why_join"":""testing ""}","{""notifications"":{""push"":true,""email"":true,""whatsapp"":true}}",,,$2a$10$tc/7e0k1ZzOyJ89kRupOW.H94JeeBzO13rO7rVjQXJdbwuwS71SrG,,,,,user,local,false,false,
5659c4e2-8925-4ab9-a9bc-21d9d971699d,saibabausa.dev+vol1@gmail.com,Test Volunteer 0 1,active,2025-12-14 13:09:51.701+00,2025-12-14 13:09:51.701+00,54315346658,,{},"{""notifications"":{""push"":true,""email"":true,""whatsapp"":true}}",,,$2a$10$I9LG0V/qH7OV6OjPqoeHiu.zsAcQ5bL8R28NUXHvCelf7kxTInJKC,,,,,volunteer,local,false,false,
71107466-e1a6-489e-9461-82e55319ae02,saibabausadev+owner@gmail.com,Test Owner,active,2025-12-14 00:49:34.82+00,2025-12-14 04:20:57.114312+00,,,"{""roles"":[""community_owner""]}","{""notifications"":{""push"":true,""email"":true,""whatsapp"":true}}",2025-12-14 04:20:57.073+00,,$2a$10$GrqsKJSHynu14KaCxOUL6upkiHd11v6QT7PGmfo/1LPuIz0fjoGZa,,,,,community_owner,local,false,false,
7b15289f-8eea-4c2f-bd95-4326a01c1ec7,saibabausadev+board@gmail.com,Test Board,active,2025-12-14 00:29:21.106+00,2025-12-14 00:52:05.924282+00,,,"{""roles"":[""board""]}","{""notifications"":{""push"":true,""email"":true,""whatsapp"":true}}",2025-12-14 00:52:05.854+00,,$2a$10$iA2iz52i1gFE46vbuibZc.X8nO9czGJxW0sQ.29s5QauU33W51lMm,,,,,board,local,false,false,
a3208d89-e47a-4ec5-874c-fcb6700e8fe0,saibabausadev+volhead@gmail.com,Test VolHead,active,2025-12-14 00:52:26.291+00,2025-12-14 14:08:51.217414+00,,,"{""roles"":[""volunteer_head""]}","{""notifications"":{""push"":true,""email"":true,""whatsapp"":true}}",2025-12-14 14:08:51.03+00,,$2a$10$0t7pMDk4P6YtytPtbon.FuONL.OIuzWFNt2fudH1RaverZax1.kae,,,,,volunteer_head,local,false,false,
bd97255e-85d8-45db-a5e7-892bbcd8d040,saibabausadev+finance@gmail.com,Test Finance,active,2025-12-14 00:54:48.998+00,2025-12-14 04:51:58.146195+00,,,"{""roles"":[""finance_team""]}","{""notifications"":{""push"":true,""email"":true,""whatsapp"":true}}",2025-12-14 04:51:58.099+00,,$2a$10$oFUNeghze6WrD602D.T6/u4tMdqC5Qcjy4cG4qzVXYOwlAxYqzTeu,,,,,finance_team,local,false,false,
c3b40cce-7622-46c2-bc64-a57d22aa5785,saibabausadev+admin@gmail.com,test admin,active,2025-12-14 00:27:04.781+00,2025-12-14 20:55:21.139017+00,,,"{""roles"":[""admin""]}","{""notifications"":{""push"":true,""email"":true,""whatsapp"":true}}",2025-12-14 20:55:21.028+00,,$2a$10$5pSgF55yDmQYVVHx6fDTM.IXJBkt4m1ahR29LpbwVHM0LO06Jy9NK,,,,,admin,local,false,false,
ce2573dd-4f04-4112-a271-5e173e63b7c8,saibabausadev+priest@gmail.com,Test Priest,active,2025-12-14 00:53:41.613+00,2025-12-14 05:04:42.749118+00,,,"{""roles"":[""priest""]}","{""notifications"":{""push"":true,""email"":true,""whatsapp"":true}}",2025-12-14 05:04:42.681+00,,$2a$10$8KDY44UxfZP1Jgyc.S/DZuh4.in/KELoBNImBDb26Inn37ZbQrbBy,,,,,priest,local,false,false,
